index, LetterN, Letter, No01, No02, No03, No04, DateFull, Year, day, month, date
2426, 3, 'C', 01, 13, 28, 73, 'Thursday March 19', 2020, 5, 3, 19
2425, 25, 'Y', 24, 43, 66, 74, 'Wednesday March 18', 2020, 4, 3, 18
2424, 10, 'J', 59, 62, 67, 79, 'Tuesday March 17', 2020, 3, 3, 17
2423, 5, 'E', 09, 33, 39, 53, 'Monday March 16', 2020, 2, 3, 16
2422, 8, 'H', 4, 18, 75, 80, 'Sunday March 15', 2020, 1, 3, 15
2421, 5, 'E', 08, 42, 49, 65, 'Saturday March 14', 2020, 7, 3, 14
2420, 16, 'P', 09, 22, 24, 76, 'Friday March 13', 2020, 6, 3, 13
2419, 14, 'N', 9, 35, 62, 77, 'Thursday March 12', 2020, 5, 3, 12
2418, 4, 'D', 01, 20, 39, 47, 'Wednesday March 11', 2020, 4, 3, 11
2417, 12, 'L', 10, 12, 42, 52, 'Tuesday March 10', 2020, 3, 3, 10
2416, 20, 'T', 8, 33, 41, 62, 'Monday March 09', 2020, 2, 3, 09
2415, 5, 'E', 24, 46, 53, 60, 'Sunday March 08', 2020, 1, 3, 08
2414, 24, 'X', 21, 25, 27, 31, 'Saturday March 07', 2020, 7, 3, 07
2413, 10, 'J', 16, 25, 53, 75, 'Friday March 06', 2020, 6, 3, 06
2412, 7, 'G', 10, 34, 74, 80, 'Thursday March 05', 2020, 5, 3, 05
2411, 11, 'K', 42, 48, 67, 75, 'Wednesday March 04', 2020, 4, 3, 04
2410, 17, 'Q', 51, 52, 57, 63, 'Tuesday March 03', 2020, 3, 3, 03
2409, 7, 'G', 23, 26, 29, 62, 'Monday March 02', 2020, 2, 3, 02
2408, 16, 'P', 15, 18, 72, 74, 'Sunday March 01', 2020, 1, 3, 01
2407, 15, 'O', 7, 40, 49, 52, 'Saturday February 29', 2020, 7, 2, 29
2406, 10, 'J', 29, 44, 58, 64, 'Friday February 28', 2020, 6, 2, 28
2405, 7, 'G', 32, 66, 67, 73, 'Thursday February 27', 2020, 5, 2, 27
2404, 1, 'A', 01, 27, 42, 75, 'Wednesday February 26', 2020, 4, 2, 26
2403, 24, 'X', 6, 13, 20, 45, 'Tuesday February 25', 2020, 3, 2, 25
2402, 17, 'Q', 40, 44, 49, 57, 'Monday February 24', 2020, 2, 2, 24
2401, 20, 'T', 35, 41, 53, 57, 'Sunday February 23', 2020, 1, 2, 23
2400, 24, 'X', 10, 17, 29, 32, 'Saturday February 22', 2020, 7, 2, 22
2399, 3, 'C', 11, 42, 45, 46, 'Friday February 21', 2020, 6, 2, 21
2398, 1, 'A', 10, 21, 46, 62, 'Thursday February 20', 2020, 5, 2, 20
2397, 9, 'I', 23, 50, 56, 72, 'Wednesday February 19', 2020, 4, 2, 19
2396, 3, 'C', 1, 43, 51, 62, 'Tuesday February 18', 2020, 3, 2, 18
2395, 25, 'Y', 19, 44, 49, 79, 'Monday February 17', 2020, 2, 2, 17
2394, 1, 'A', 11, 23, 51, 67, 'Sunday February 16', 2020, 1, 2, 16
2393, 8, 'H', 17, 38, 50, 72, 'Saturday February 15', 2020, 7, 2, 15
2392, 6, 'F', 3, 7, 69, 71, 'Friday February 14', 2020, 6, 2, 14
2391, 4, 'D', 30, 40, 62, 66, 'Thursday February 13', 2020, 5, 2, 13
2390, 13, 'M', 12, 33, 53, 79, 'Wednesday February 12', 2020, 4, 2, 12
2389, 26, 'Z', 18, 38, 52, 61, 'Tuesday February 11', 2020, 3, 2, 11
2388, 12, 'L', 27, 31, 34, 38, 'Monday February 10', 2020, 2, 2, 10
2387, 23, 'W', 05, 32, 33, 80, 'Sunday February 09', 2020, 1, 2, 09
2386, 15, 'O', 1, 4, 39, 67, 'Saturday February 08', 2020, 7, 2, 08
2385, 20, 'T', 47, 52, 55, 58, 'Friday February 07', 2020, 6, 2, 07
2384, 8, 'H', 14, 25, 29, 49, 'Thursday February 06', 2020, 5, 2, 06
2383, 20, 'T', 01, 09, 17, 45, 'Wednesday February 05', 2020, 4, 2, 05
2382, 19, 'S', 16, 22, 40, 55, 'Tuesday February 04', 2020, 3, 2, 04
2381, 11, 'K', 08, 09, 18, 52, 'Monday February 03', 2020, 2, 2, 03
2380, 20, 'T', 08, 22, 41, 61, 'Sunday February 02', 2020, 1, 2, 02
2379, 24, 'X', 31, 44, 47, 77, 'Saturday February 01', 2020, 7, 2, 01
2378, 20, 'T', 2, 34, 57, 73, 'Friday January 31', 2020, 6, 1, 31
2377, 25, 'Y', 17, 23, 59, 76, 'Thursday January 30', 2020, 5, 1, 30
